222-47r_07-27-04_1090886400,222-4g6_02-28-07_1172620800,0.00331358
222-47r_07-27-04_1090886400,222-4i7_09-11-08_1221091200,0.00497671
222-47r_07-27-04_1090886400,222-4jw_04-24-09_1240531200,0.00248673
222-47r_07-27-04_1090886400,222-4mg_07-06-09_1246838400,0.00497299
222-47r_07-27-04_1090886400,222-3rv_10-19-01_1003449600,0.00831165
222-4ze_12-08-09_1260230400,222-2pb_10-22-10_1287705600,0.00663779
222-3pn_03-02-01_983491200,222-3pd_12-19-00_977184000,0.0116874
222-4im_12-02-08_1228176000,222-4d7_12-13-05_1134432000,0.00663847
222-4ib_10-08-08_1223424000,222-4p4_08-03-09_1249257600,0.0116623
222-4im_12-02-08_1228176000,224-248_04-28-16_1461801600,0.0142112
222-47u_08-30-04_1093824000,222-5i8_05-16-05_1116201600,0.00832588
222-3xz_03-04-03_1046736000,222-2fj_09-08-08_1220832000,0.00497289
222-22y_03-12-02_1015891200,222-4ca_09-02-05_1125619200,0.0132114
222-2t4_12-10-09_1260403200,222-2jh_02-12-10_1265932800,0.00915051
222-47u_08-30-04_1093824000,222-4ee_05-24-06_1148428800,0.0116738
222-47u_08-30-04_1093824000,222-2da_01-13-09_1231804800,0.0147899
222-4ib_10-08-08_1223424000,222-2t4_12-10-09_1260403200,0.0108375
222-47u_08-30-04_1093824000,222-4ii_11-06-08_1225929600,0.0141798
222-4zh_01-07-10_1262822400,222-bht_01-06-12_1325808000,0.01087
222-3y9_06-23-09_1245715200,222-23e_03-11-10_1268265600,0.00664599
222-3pu_03-28-01_985737600,222-3pv_04-18-01_987552000,0.000769109
222-47u_08-30-04_1093824000,222-4zd_12-01-09_1259625600,0.0141799
222-4ic_10-07-08_1223337600,224-283_11-30-16_1480464000,0.014171
222-4ic_10-07-08_1223337600,224-293_01-19-17_1484784000,0.0142115
222-4cy_08-28-09_1251417600,222-4ck_09-30-05_1128038400,0.00332011
222-4dx_03-17-06_1142553600,222-4p2_07-28-09_1248739200,0.0116766
222-47v_08-06-04_1091750400,222-4nn_07-29-09_1248825600,0.00165333
222-4ie_05-13-09_1242172800,222-4z2_11-16-09_1258329600,0.00916122
222-4dx_03-17-06_1142553600,222-3yj_09-19-03_1063929600,0.0133548
222-47x_08-17-04_1092700800,222-47z_08-24-04_1093305600,0.0142064
222-3yd_03-18-03_1047945600,222-3zk_05-30-03_1054252800,0.0058138
222-4zw_02-02-10_1265068800,222-3xy_09-05-12_1346803200,0.00248635
222-4ie_05-13-09_1242172800,222-7jf_08-08-11_1312761600,0.0133836
222-47x_08-17-04_1092700800,222-4ca_09-02-05_1125619200,0.00663161
222-4cy_08-28-09_1251417600,222-6va_06-12-08_1213228800,0.00831535
222-4ie_05-13-09_1242172800,222-h6y_11-05-12_1352073600,0.00746993
222-47x_08-17-04_1092700800,222-4ky_07-02-09_1246492800,0.0141986
222-4zw_02-02-10_1265068800,222-48f_08-29-12_1346198400,0.0049848
222-4ie_05-13-09_1242172800,222-xsk_07-31-14_1406764800,0.0083114
222-4ie_05-13-09_1242172800,223-3wc_11-13-14_1415836800,0.0133747
222-3yw_04-18-03_1050624000,222-4ki_06-08-09_1244419200,0.0133507
222-3yw_04-18-03_1050624000,222-4kq_06-19-09_1245369600,0.00833832
222-4ie_05-13-09_1242172800,223-dcx_03-19-15_1426723200,0.00747827
222-3yw_04-18-03_1050624000,222-4kr_06-19-09_1245369600,0.010035
222-4ie_05-13-09_1242172800,223-dnn_03-31-15_1427760000,0.00915542
222-4ie_05-13-09_1242172800,224-244_04-13-16_1460505600,0.0141997
222-3yw_04-18-03_1050624000,222-2v4_03-24-15_1427155200,0.00831501
222-3q7_05-30-01_991180800,222-3q8_06-01-01_991353600,0.0108176
222-4ee_05-24-06_1148428800,222-4ii_11-06-08_1225929600,0.0141934
222-3yw_04-18-03_1050624000,222-b7i_12-08-11_1323302400,0.0116681
